exchange,exchange_token,trading_symbol,groww_symbol,name,instrument_type,segment,series,isin,underlying_symbol,underlying_exchange_token,expiry_date,strike_price,lot_size,tick_size,freeze_quantity,is_reserved,buy_allowed,sell_allowed,internal_trading_symbol,is_intraday
NSE,68533,NIFTY,NSE-NIFTY,,INDEX,CASH,,,NIFTY,13061,,,,500,0.05,20001,0,1,1,NIFTY,0
NSE,56984,TCS,NSE-TCS,,EQUITY,CASH,,,TCS,13062,,,,1,0.05,20001,0,1,1,TCS,0
NSE,68534,INFY,NSE-INFY,,EQUITY,CASH,,,INFY,13063,,,,1,0.05,20001,0,1,1,INFY,0
NSE,68535,RELIANCE,NSE-RELIANCE,,EQUITY,CASH,,,RELIANCE,13064,,,,1,0.05,20001,0,1,1,RELIANCE,0
NSE,68536,HDFC,NSE-HDFC,,EQUITY,CASH,,,HDFC,13065,,,,1,0.05,20001,0,1,1,HDFC,0
NSE,68537,WIPRO,NSE-WIPRO,,EQUITY,CASH,,,WIPRO,13066,,,,1,0.05,20001,0,1,1,WIPRO,0
NSE,68538,BANKNIFTY,NSE-BANKNIFTY,,INDEX,CASH,,,BANKNIFTY,13067,,,,100,0.05,20001,0,1,1,BANKNIFTY,0
NSE,68539,MARUTI,NSE-MARUTI,,EQUITY,CASH,,,MARUTI,13068,,,,1,0.05,20001,0,1,1,MARUTI,0
NSE,68540,BAJAJFINSV,NSE-BAJAJFINSV,,EQUITY,CASH,,,BAJAJFINSV,13069,,,,1,0.05,20001,0,1,1,BAJAJFINSV,0
NSE,68541,SBIN,NSE-SBIN,,EQUITY,CASH,,,SBIN,13070,,,,1,0.05,20001,0,1,1,SBIN,0
